Let me check the existing artifact and then write a comprehensive generator script.

Now I'll write the full generator script:

All checks pass. Let me also verify the SVG structure is well-formed and preview key sections:

The SVG is well-structured with rich detail. Let me do a final validation:

All 4 gears are present (2 with `brassGrad`, 2 with `brassDark`). The SVG is complete and valid. Here's a summary:

**`artifact.svg` generated successfully** — 23,239 bytes, valid XML.

| Spec Requirement | Status |
|---|---|
| 600×600 viewBox, centered | ✓ |
| Circular case (r=200) with metallic gradient | ✓ |
| Bezel ring | ✓ |
| Crown at 12 o'clock with stem | ✓ |
| Dial face (r=170, cream gradient) | ✓ |
| 12 hour markers (thick at 12/3/6/9) | ✓ |
| 60 minute tick marks | ✓ |
| 12 Roman numerals (I–XII) | ✓ |
| Hour hand near 10 o'clock | ✓ |
| Minute hand near 2 o'clock | ✓ |
| Second hand (red) near 7 o'clock | ✓ |
| Small seconds sub-dial at 6 o'clock (r=30) | ✓ |
| Power reserve sub-dial at 12 o'clock (r=25, ~60%) | ✓ |
| 4 gears (large, medium, small, escape wheel) | ✓ |
| Balance wheel (bottom-right) | ✓ |
| Chain (4 links, curving up/out) | ✓ |
| Brass/brassDark gradients, clean line art | ✓ |
| Valid XML | ✓ |
