Now let me validate the SVG parses as well-formed XML:

All components are present and verified. Here's a summary of what was created:

**`artifact.svg`** — A detailed mechanical pocket watch illustration (23,581 bytes) with:

| Component | Details |
|---|---|
| **Chain** | 12 linked ellipses with a bail ring, extending upward from the crown |
| **Crown** | Ridges, top knob, and base at 12 o'clock position |
| **Metallic Case** | Gold radial gradient with inner bevel, decorative engraving rings, and case screws |
| **Dial** | Cream radial gradient with guilloche-style concentric rings and minute track |
| **Roman Numerals** | All 12 (I–XII) in Georgia serif font around the dial perimeter |
| **Minute Markers** | 60 tick marks (12 thicker 5-min markers + 48 minor ticks) |
| **Hands** | Gold hour hand (~10 o'clock), gold minute hand (~2 o'clock), red second hand (~38 sec), with counterweights and center cap |
| **Sub-dial** | Seconds sub-dial at 6 o'clock with markers (15/30/45/60) and a blued steel hand |
| **Visible Gears** | 3 meshing gears (main, smaller, escape wheel) + mainspring barrel + decorative bridge plate in the upper movement area |
| **Styling** | 7 gradients (gold, silver, cream, blue steel, chain), 2 filters (drop shadow, inner shadow), glass reflection overlay |
