All acceptance criteria are met. Here's a summary of what was generated:

**`generate_artifact.py`** — A Python script that programmatically constructs a detailed mechanical pocket watch SVG with:

| Element | Status | Details |
|---|---|---|
| **Case** | ✓ | r=200, brass radial gradient, bezel rings, drop shadow |
| **Crown & Stem** | ✓ | Ellipse crown with ridges, rectangular stem into case |
| **Chain** | ✓ | 4 elliptical links curving upward from crown |
| **Dial** | ✓ | r=170, cream radial gradient |
| **Hour Markers** | ✓ | 4 thick (3.5px) + 8 thin (1.8px) lines |
| **Roman Numerals** | ✓ | XII, I–XI in Georgia serif font |
| **Minute Ticks** | ✓ | 48 ticks every 6° around dial edge |
| **Hour Hand** | ✓ | ~95px long, 6px wide, pointing at 10 o'clock |
| **Minute Hand** | ✓ | ~135px long, 3.5px wide, pointing at 2 o'clock |
| **Second Hand** | ✓ | ~145px long, 1.5px wide, red, pointing at 7 o'clock |
| **Power Reserve** | ✓ | r=25 sub-dial at 12 o'clock, arc showing ~60% charge |
| **Small Seconds** | ✓ | r=30 sub-dial at 6 o'clock with its own hand |
| **Gears** | ✓ | 3 gears (large/medium/small) with teeth, spokes, and center hubs |
| **Balance Wheel** | ✓ | r=35 wheel at bottom-right with cross-bars and hairspring |
| **Style** | ✓ | Metallic/brass palette, gradients, filters, crystal glare |
| **XML Validity** | ✓ | Parses cleanly, all tags closed, attributes quoted |
