I spotted a typo in the gear 2 tooth generation. Let me fix it:

All acceptance criteria are met:

| Requirement | Status |
|---|---|
| `artifact.svg` exists | ✓ |
| Valid XML | ✓ |
| 600×600 viewBox, centered | ✓ |
| Case (r~200, metallic gradient, bezel) | ✓ |
| Crown at 12 o'clock with stem | ✓ |
| Chain (4 links, curving upward) | ✓ |
| Dial (r~170, cream gradient) | ✓ |
| 12 hour markers (thick at 12/3/6/9) | ✓ |
| 12 Roman numerals (I–XII) | ✓ |
| 60 minute tick marks | ✓ |
| Hour hand at 10 o'clock | ✓ |
| Minute hand at 2 o'clock | ✓ |
| Second hand (red) at 7 o'clock | ✓ |
| Small seconds sub-dial at 6 o'clock | ✓ |
| Power reserve sub-dial at 12 o'clock | ✓ |
| 3+ movement gears with teeth | ✓ (3 gears + barrel) |
| Balance wheel near bottom-right | ✓ |
| Metallic/brass palette, clean line art | ✓ |
